Prefix,Type
52.41.219.63/32,Atlassian 1
34.216.18.129/32,Atlassian 2
13.236.8.128/25,Atlassian 3
18.246.31.128/25,Atlassian 4
34.236.25.177/32,Atlassian 5
185.166.140.0/22,Atlassian 6
34.199.54.113/32,Atlassian 7
35.155.178.254/32,Atlassian 8
52.204.96.37/32,Atlassian 9
35.160.177.10/32,Atlassian 10
52.203.14.55/32,Atlassian 11
18.184.99.128/25,Atlassian 12
52.215.192.128/25,Atlassian 13
104.192.136.0/21,Atlassian 14
18.205.93.0/27,Atlassian 15
35.171.175.212/32,Atlassian 16
18.136.214.0/25,Atlassian 17
52.202.195.162/32,Atlassian 18
13.52.5.0/25,Atlassian 19
34.218.168.212/32,Atlassian 20
18.234.32.128/25,Atlassian 21
34.218.156.209/32,Atlassian 22
52.54.90.98/32,Atlassian 23
34.232.119.183/32,Atlassian 24
34.232.25.90/32,Atlassian 25
2600:1f18:2146:e300::/56,Atlassian 26
2406:da1c:1e0:a200::/56,Atlassian 27
2a05:d014:f99:dd00::/56,Atlassian 28
2a05:d018:34d:5800::/56,Atlassian 29
2600:1f1c:cc5:2300::/56,Atlassian 30
2600:1f14:824:300::/56,Atlassian 31
2406:da18:809:e00::/56,Atlassian 32
2401:1d80:3000::/36,Atlassian 33
