Prefix,Type
13.64.0.0/11, MSFT Public IP Address Block 1
13.96.0.0/13, MSFT Public IP Address Block 2
13.104.0.0/14, MSFT Public IP Address Block 3
20.33.0.0/16, MSFT Public IP Address Block 4
20.34.0.0/15, MSFT Public IP Address Block 5
20.36.0.0/14, MSFT Public IP Address Block 6
20.40.0.0/13, MSFT Public IP Address Block 7
20.48.0.0/12, MSFT Public IP Address Block 8
20.64.0.0/10, MSFT Public IP Address Block 9
20.128.0.0/16, MSFT Public IP Address Block 10
20.130.0.0/16, MSFT Public IP Address Block 11
20.135.0.0/16, MSFT Public IP Address Block 12
20.136.0.0/16, MSFT Public IP Address Block 13
20.140.0.0/15, MSFT Public IP Address Block 14
20.143.0.0/16, MSFT Public IP Address Block 15
20.144.0.0/14, MSFT Public IP Address Block 16
20.150.0.0/15, MSFT Public IP Address Block 17
20.157.0.0/16, MSFT Public IP Address Block 18
20.160.0.0/12, MSFT Public IP Address Block 19
20.176.0.0/14, MSFT Public IP Address Block 20
20.180.0.0/14, MSFT Public IP Address Block 21
20.184.0.0/13, MSFT Public IP Address Block 22
20.192.0.0/10, MSFT Public IP Address Block 23
23.96.0.0/13, MSFT Public IP Address Block 24
40.64.0.0/10, MSFT Public IP Address Block 25
42.159.0.0/16, MSFT Public IP Address Block 26
51.4.0.0/15, MSFT Public IP Address Block 27
51.8.0.0/16, MSFT Public IP Address Block 28
51.10.0.0/15, MSFT Public IP Address Block 29
51.12.0.0/15, MSFT Public IP Address Block 30
51.18.0.0/16, MSFT Public IP Address Block 31
51.51.0.0/16, MSFT Public IP Address Block 32
51.53.0.0/16, MSFT Public IP Address Block 33
51.103.0.0/16, MSFT Public IP Address Block 34
51.104.0.0/15, MSFT Public IP Address Block 35
51.107.0.0/16, MSFT Public IP Address Block 36
51.116.0.0/16, MSFT Public IP Address Block 37
51.120.0.0/16, MSFT Public IP Address Block 38
51.124.0.0/16, MSFT Public IP Address Block 39
51.132.0.0/16, MSFT Public IP Address Block 40
51.136.0.0/15, MSFT Public IP Address Block 41
51.138.0.0/16, MSFT Public IP Address Block 42
51.140.0.0/14, MSFT Public IP Address Block 43
51.144.0.0/15, MSFT Public IP Address Block 44
52.96.0.0/12, MSFT Public IP Address Block 45
52.112.0.0/14, MSFT Public IP Address Block 46
52.120.0.0/14, MSFT Public IP Address Block 47
52.125.0.0/16, MSFT Public IP Address Block 48
52.126.0.0/15, MSFT Public IP Address Block 49
52.130.0.0/15, MSFT Public IP Address Block 50
52.132.0.0/14, MSFT Public IP Address Block 51
52.136.0.0/13, MSFT Public IP Address Block 52
52.145.0.0/16, MSFT Public IP Address Block 53
52.146.0.0/15, MSFT Public IP Address Block 54
52.148.0.0/14, MSFT Public IP Address Block 55
52.152.0.0/13, MSFT Public IP Address Block 56
52.160.0.0/11, MSFT Public IP Address Block 57
